city,zone,rainfall_mm,drainage_capacity,population_density,traffic_index,road_condition_rating,critical_infrastructure_count,rainfall,drainage_capacity_pct,population,traffic,road_condition,critical_infrastructure,drainage_overflow_ratio,road_vulnerability,flood_risk_score,flood_risk_target,target
Mumbai,Sion Lowlands,126.83,49.82,114474,64.44,3.42,3,126.83,49.82,114474,64.44,3.42,3,2.5461,0.6576,0.98,1,1
Mumbai,Sion Lowlands,426.44,26.98,112092,73.49,6.93,9,426.44,26.98,112092,73.49,6.93,9,15.8071,0.3072,0.98,1,1
Mumbai,Sion Lowlands,51.63,33.48,37688,84.95,3.84,6,51.63,33.48,37688,84.95,3.84,6,1.5419,0.6161,0.98,1,1
Mumbai,Dadar-Hindmata,55.9,56.77,67107,74.39,5.48,5,55.9,56.77,67107,74.39,5.48,5,0.9848,0.4521,0.7598,1,1
Mumbai,Sion Lowlands,162.66,26.01,59754,88.86,3.74,9,162.66,26.01,59754,88.86,3.74,9,6.2532,0.6257,0.98,1,1
Mumbai,Sion Lowlands,249.54,56.89,26802,66.37,2.57,9,249.54,56.89,26802,66.37,2.57,9,4.3867,0.7433,0.98,1,1
Mumbai,Dadar-Hindmata,412.43,27.9,71843,58.4,6.91,6,412.43,27.9,71843,58.4,6.91,6,14.7841,0.3089,0.98,1,1
Mumbai,Sion Lowlands,452.33,42.91,54855,80.39,3.7,5,452.33,42.91,54855,80.39,3.7,5,10.5403,0.6305,0.98,1,1
Mumbai,Dadar-Hindmata,343.86,59.86,31295,69.42,6.44,6,343.86,59.86,31295,69.42,6.44,6,5.7448,0.3561,0.98,1,1
Mumbai,Dadar-Hindmata,183.64,62.01,27200,50.24,2.8,4,183.64,62.01,27200,50.24,2.8,4,2.9617,0.7196,0.98,1,1
Mumbai,Kurla West,328.43,47.6,119179,84.18,3.19,7,328.43,47.6,119179,84.18,3.19,7,6.9,0.6814,0.98,1,1
Mumbai,Sion Lowlands,399.7,47.88,69064,76.04,4.54,8,399.7,47.88,69064,76.04,4.54,8,8.3478,0.5456,0.98,1,1
Mumbai,Dadar-Hindmata,128.46,44.49,72333,68.87,6.46,5,128.46,44.49,72333,68.87,6.46,5,2.8871,0.354,0.98,1,1
Mumbai,Mithi River Basin,276.34,39.63,119660,61.05,4.5,6,276.34,39.63,119660,61.05,4.5,6,6.9737,0.5504,0.98,1,1
Mumbai,Dadar-Hindmata,363.15,17.18,81491,95.14,6.77,7,363.15,17.18,81491,95.14,6.77,7,21.138,0.323,0.98,1,1
Mumbai,Mithi River Basin,435.53,36.41,70236,77.47,6.9,6,435.53,36.41,70236,77.47,6.9,6,11.962,0.3098,0.98,1,1
Mumbai,Dadar-Hindmata,153.48,24.55,75336,65.21,2.85,3,153.48,24.55,75336,65.21,2.85,3,6.2529,0.7153,0.98,1,1
Mumbai,Dadar-Hindmata,273.24,19.86,97991,82.21,3.79,9,273.24,19.86,97991,82.21,3.79,9,13.759,0.6207,0.98,1,1
Mumbai,Dadar-Hindmata,148.77,31.13,52751,83.46,5.51,9,148.77,31.13,52751,83.46,5.51,9,4.7793,0.4488,0.98,1,1
Mumbai,Dadar-Hindmata,131.06,45.58,113891,74.54,4.51,7,131.06,45.58,113891,74.54,4.51,7,2.8757,0.5492,0.98,1,1
Mumbai,Sion Lowlands,309.43,50.1,95031,52.44,6.43,9,309.43,50.1,95031,52.44,6.43,9,6.1765,0.3567,0.98,1,1
Mumbai,Dadar-Hindmata,319.43,31.41,77921,76.05,3.43,4,319.43,31.41,77921,76.05,3.43,4,10.1704,0.6567,0.98,1,1
Mumbai,Kurla West,28.82,16.87,78006,67.29,2.64,3,28.82,16.87,78006,67.29,2.64,3,1.7084,0.7365,0.98,1,1
Mumbai,Sion Lowlands,297.17,19.27,91412,59.33,4.06,5,297.17,19.27,91412,59.33,4.06,5,15.4234,0.5943,0.98,1,1
Mumbai,Dadar-Hindmata,77.67,21.64,42019,84.3,2.21,9,77.67,21.64,42019,84.3,2.21,9,3.5898,0.7795,0.98,1,1
Mumbai,Kurla West,26.48,63.13,76990,70.56,5.44,3,26.48,63.13,76990,70.56,5.44,3,0.4195,0.4558,0.4626,0,0
Mumbai,Kurla West,429.59,37.12,71175,76.36,5.57,7,429.59,37.12,71175,76.36,5.57,7,11.5738,0.4427,0.98,1,1
Mumbai,Kurla West,345.71,17.39,92215,57.62,2.6,7,345.71,17.39,92215,57.62,2.6,7,19.8845,0.7399,0.98,1,1
Mumbai,Kurla West,56.58,19.71,76293,91.06,5.52,6,56.58,19.71,76293,91.06,5.52,6,2.8712,0.4482,0.98,1,1
Mumbai,Kurla West,211.53,34.93,48049,95.56,6.43,6,211.53,34.93,48049,95.56,6.43,6,6.0568,0.3567,0.98,1,1
Mumbai,Dadar-Hindmata,21.93,61.67,34823,91.11,5.29,6,21.93,61.67,34823,91.11,5.29,6,0.3556,0.4707,0.5026,0,0
Mumbai,Kurla West,27.01,44.29,85890,88.45,5.39,5,27.01,44.29,85890,88.45,5.39,5,0.6099,0.4614,0.6269,1,1
Mumbai,Sion Lowlands,73.21,55.56,118610,95.19,3.93,3,73.21,55.56,118610,95.19,3.93,3,1.3177,0.6069,0.9402,1,1
Mumbai,Mithi River Basin,46.42,20.04,37161,51.87,5.09,9,46.42,20.04,37161,51.87,5.09,9,2.3165,0.4909,0.98,1,1
Mumbai,Mithi River Basin,312.04,34.27,40305,51.12,6.07,3,312.04,34.27,40305,51.12,6.07,3,9.1055,0.3928,0.98,1,1
Mumbai,Kurla West,299.91,58.87,58496,88.57,3.41,4,299.91,58.87,58496,88.57,3.41,4,5.0942,0.659,0.98,1,1
Mumbai,Mithi River Basin,355.03,55.34,108042,69.81,3.86,9,355.03,55.34,108042,69.81,3.86,9,6.4152,0.614,0.98,1,1
Mumbai,Sion Lowlands,403.86,36.45,96180,85.52,3.19,8,403.86,36.45,96180,85.52,3.19,8,11.0799,0.6809,0.98,1,1
Mumbai,Mithi River Basin,257.05,39.83,25728,65.36,6.48,3,257.05,39.83,25728,65.36,6.48,3,6.454,0.3522,0.98,1,1
Mumbai,Sion Lowlands,445.38,62.53,79098,73.67,2.42,7,445.38,62.53,79098,73.67,2.42,7,7.1226,0.7584,0.98,1,1
Mumbai,Dadar-Hindmata,287.91,42.69,112508,86.11,5.96,3,287.91,42.69,112508,86.11,5.96,3,6.7449,0.4042,0.98,1,1
Mumbai,Dadar-Hindmata,79.78,53.08,97592,54.85,2.42,7,79.78,53.08,97592,54.85,2.42,7,1.5031,0.7579,0.98,1,1
Mumbai,Sion Lowlands,47.96,56.09,44065,57.04,4.57,8,47.96,56.09,44065,57.04,4.57,8,0.855,0.5433,0.7419,1,1
Mumbai,Dadar-Hindmata,426.19,44.59,60909,83.99,4.41,6,426.19,44.59,60909,83.99,4.41,6,9.5569,0.5592,0.98,1,1
Mumbai,Kurla West,334.4,27.44,118714,55.34,4.46,7,334.4,27.44,118714,55.34,4.46,7,12.1884,0.5537,0.98,1,1
Mumbai,Sion Lowlands,68.82,20.88,67344,85.72,5.41,6,68.82,20.88,67344,85.72,5.41,6,3.2968,0.4595,0.98,1,1
Mumbai,Kurla West,196.3,38.89,48960,91.69,3.12,8,196.3,38.89,48960,91.69,3.12,8,5.0481,0.6882,0.98,1,1
Mumbai,Sion Lowlands,254.05,64.65,46732,62.14,5.48,3,254.05,64.65,46732,62.14,5.48,3,3.9297,0.4523,0.98,1,1
Mumbai,Kurla West,90.3,25.84,77638,97.8,5.48,5,90.3,25.84,77638,97.8,5.48,5,3.4943,0.4515,0.98,1,1
Mumbai,Sion Lowlands,167.05,23.48,86529,68.64,3.15,6,167.05,23.48,86529,68.64,3.15,6,7.1135,0.6853,0.98,1,1
Mumbai,Sion Lowlands,178.24,28.0,72605,51.55,3.4,7,178.24,28.0,72605,51.55,3.4,7,6.3662,0.6601,0.98,1,1
Mumbai,Mithi River Basin,75.33,18.81,70445,95.59,5.63,9,75.33,18.81,70445,95.59,5.63,9,4.0049,0.4371,0.98,1,1
Mumbai,Mithi River Basin,204.46,61.64,48793,76.48,2.82,3,204.46,61.64,48793,76.48,2.82,3,3.3173,0.7176,0.98,1,1
Mumbai,Dadar-Hindmata,83.14,44.71,29158,68.86,6.15,3,83.14,44.71,29158,68.86,6.15,3,1.8597,0.3854,0.98,1,1
Mumbai,Mithi River Basin,43.77,16.84,33702,63.12,2.28,8,43.77,16.84,33702,63.12,2.28,8,2.599,0.7718,0.98,1,1
Mumbai,Mithi River Basin,466.48,42.77,48524,84.85,5.79,5,466.48,42.77,48524,84.85,5.79,5,10.9062,0.4215,0.98,1,1
Mumbai,Mithi River Basin,124.21,25.25,59816,95.79,5.03,8,124.21,25.25,59816,95.79,5.03,8,4.9188,0.4969,0.98,1,1
Mumbai,Kurla West,177.25,20.68,39489,73.91,4.38,5,177.25,20.68,39489,73.91,4.38,5,8.5718,0.5619,0.98,1,1
Mumbai,Dadar-Hindmata,154.42,55.82,98963,76.93,6.38,3,154.42,55.82,98963,76.93,6.38,3,2.7665,0.3617,0.98,1,1
Mumbai,Dadar-Hindmata,357.08,46.02,62441,88.64,6.52,6,357.08,46.02,62441,88.64,6.52,6,7.7599,0.3484,0.98,1,1
Mumbai,Kurla West,173.82,44.5,31941,76.63,2.46,4,173.82,44.5,31941,76.63,2.46,4,3.9063,0.7545,0.98,1,1
Mumbai,Sion Lowlands,427.44,29.9,77329,91.39,6.75,6,427.44,29.9,77329,91.39,6.75,6,14.2967,0.3252,0.98,1,1
Mumbai,Kurla West,434.74,39.61,44963,53.18,2.23,8,434.74,39.61,44963,53.18,2.23,8,10.9768,0.7771,0.98,1,1
Mumbai,Dadar-Hindmata,277.58,32.08,31254,56.19,2.64,9,277.58,32.08,31254,56.19,2.64,9,8.6533,0.736,0.98,1,1
Mumbai,Dadar-Hindmata,77.89,47.04,66240,93.05,4.37,7,77.89,47.04,66240,93.05,4.37,7,1.6557,0.563,0.98,1,1
Mumbai,Dadar-Hindmata,33.51,23.45,61668,51.53,4.74,7,33.51,23.45,61668,51.53,4.74,7,1.4293,0.5256,0.9611,1,1
Mumbai,Mithi River Basin,176.26,59.71,116865,83.14,2.2,3,176.26,59.71,116865,83.14,2.2,3,2.952,0.7803,0.98,1,1
Mumbai,Sion Lowlands,410.73,61.04,77796,50.12,6.34,3,410.73,61.04,77796,50.12,6.34,3,6.7285,0.3658,0.98,1,1
Mumbai,Dadar-Hindmata,98.59,25.47,107558,94.35,3.18,6,98.59,25.47,107558,94.35,3.18,6,3.8711,0.6819,0.98,1,1
Mumbai,Mithi River Basin,43.24,22.39,30126,82.98,6.22,5,43.24,22.39,30126,82.98,6.22,5,1.9315,0.3778,0.98,1,1
Mumbai,Dadar-Hindmata,28.8,58.36,113869,75.57,3.21,3,28.8,58.36,113869,75.57,3.21,3,0.4935,0.6788,0.5652,1,1
Mumbai,Dadar-Hindmata,160.9,25.57,81793,75.7,3.17,7,160.9,25.57,81793,75.7,3.17,7,6.292,0.6834,0.98,1,1
Mumbai,Sion Lowlands,229.71,32.76,107152,73.93,2.43,9,229.71,32.76,107152,73.93,2.43,9,7.0129,0.7565,0.98,1,1
Mumbai,Sion Lowlands,210.54,21.38,85004,67.43,5.23,4,210.54,21.38,85004,67.43,5.23,4,9.8481,0.477,0.98,1,1
Mumbai,Dadar-Hindmata,176.31,64.33,28812,94.82,2.04,7,176.31,64.33,28812,94.82,2.04,7,2.7409,0.7962,0.98,1,1
Mumbai,Sion Lowlands,400.42,19.39,101125,58.32,6.48,9,400.42,19.39,101125,58.32,6.48,9,20.6462,0.3516,0.98,1,1
Mumbai,Dadar-Hindmata,252.6,35.52,101323,97.87,6.48,6,252.6,35.52,101323,97.87,6.48,6,7.1116,0.3517,0.98,1,1
Mumbai,Sion Lowlands,342.47,56.04,78441,76.72,4.86,5,342.47,56.04,78441,76.72,4.86,5,6.1109,0.5142,0.98,1,1
Mumbai,Mithi River Basin,363.58,24.35,67101,84.13,3.0,6,363.58,24.35,67101,84.13,3.0,6,14.9301,0.7002,0.98,1,1
Mumbai,Kurla West,362.8,19.36,26917,57.41,4.41,5,362.8,19.36,26917,57.41,4.41,5,18.7355,0.5594,0.98,1,1
Mumbai,Dadar-Hindmata,38.48,31.83,90545,76.33,4.74,4,38.48,31.83,90545,76.33,4.74,4,1.2088,0.5255,0.9193,1,1
Mumbai,Mithi River Basin,77.89,15.14,118070,72.64,4.06,8,77.89,15.14,118070,72.64,4.06,8,5.146,0.5941,0.98,1,1
Mumbai,Dadar-Hindmata,436.08,56.53,25235,69.61,6.66,5,436.08,56.53,25235,69.61,6.66,5,7.7139,0.3335,0.98,1,1
Mumbai,Kurla West,36.79,54.08,66832,86.02,6.0,5,36.79,54.08,66832,86.02,6.0,5,0.6803,0.4002,0.6147,1,1
Mumbai,Mithi River Basin,99.44,26.78,25077,75.11,3.79,7,99.44,26.78,25077,75.11,3.79,7,3.7126,0.6206,0.98,1,1
Mumbai,Sion Lowlands,213.93,33.85,36954,79.96,4.7,9,213.93,33.85,36954,79.96,4.7,9,6.3204,0.5301,0.98,1,1
Mumbai,Dadar-Hindmata,276.6,32.77,36246,68.43,4.72,5,276.6,32.77,36246,68.43,4.72,5,8.4412,0.5282,0.98,1,1
Mumbai,Dadar-Hindmata,299.35,31.75,112487,58.0,6.39,3,299.35,31.75,112487,58.0,6.39,3,9.4298,0.3607,0.98,1,1
Mumbai,Sion Lowlands,350.88,43.66,76356,57.28,3.56,7,350.88,43.66,76356,57.28,3.56,7,8.0371,0.6441,0.98,1,1
Mumbai,Sion Lowlands,273.16,53.12,68872,54.94,4.68,9,273.16,53.12,68872,54.94,4.68,9,5.142,0.5318,0.98,1,1
Mumbai,Sion Lowlands,222.02,45.2,45103,57.2,3.15,6,222.02,45.2,45103,57.2,3.15,6,4.9122,0.6854,0.98,1,1
Mumbai,Kurla West,129.06,32.28,102834,96.04,3.71,8,129.06,32.28,102834,96.04,3.71,8,3.9977,0.6287,0.98,1,1
Mumbai,Sion Lowlands,206.89,29.4,115474,57.36,4.93,8,206.89,29.4,115474,57.36,4.93,8,7.0379,0.5069,0.98,1,1
Mumbai,Sion Lowlands,410.07,61.61,62219,94.1,5.95,7,410.07,61.61,62219,94.1,5.95,7,6.6564,0.405,0.98,1,1
Mumbai,Sion Lowlands,310.07,53.56,90310,79.12,4.12,7,310.07,53.56,90310,79.12,4.12,7,5.7889,0.5879,0.98,1,1
Mumbai,Sion Lowlands,71.47,61.04,78173,74.9,4.96,7,71.47,61.04,78173,74.9,4.96,7,1.1709,0.5044,0.8554,1,1
Mumbai,Dadar-Hindmata,39.81,31.76,64224,50.22,3.67,9,39.81,31.76,64224,50.22,3.67,9,1.2534,0.6333,0.9516,1,1
Mumbai,Kurla West,171.89,32.35,82761,94.09,4.94,5,171.89,32.35,82761,94.09,4.94,5,5.314,0.5065,0.98,1,1
Mumbai,Sion Lowlands,428.48,27.41,92526,57.94,2.17,3,428.48,27.41,92526,57.94,2.17,3,15.6313,0.7831,0.98,1,1
Mumbai,Kurla West,114.7,25.63,52696,58.55,6.81,3,114.7,25.63,52696,58.55,6.81,3,4.4747,0.3195,0.98,1,1
Mumbai,Sion Lowlands,202.82,19.27,100452,58.85,3.5,7,202.82,19.27,100452,58.85,3.5,7,10.5268,0.6502,0.98,1,1
Mumbai,Sion Lowlands,421.82,25.26,84676,80.0,3.89,5,421.82,25.26,84676,80.0,3.89,5,16.7011,0.6111,0.98,1,1
Mumbai,Kurla West,148.2,50.7,53865,75.65,4.41,8,148.2,50.7,53865,75.65,4.41,8,2.9229,0.5595,0.98,1,1
Mumbai,Mithi River Basin,166.47,18.78,73770,67.92,3.35,8,166.47,18.78,73770,67.92,3.35,8,8.8663,0.6646,0.98,1,1
Mumbai,Kurla West,200.16,16.27,51399,84.37,5.29,3,200.16,16.27,51399,84.37,5.29,3,12.3027,0.4705,0.98,1,1
Mumbai,Dadar-Hindmata,319.37,15.99,81373,66.29,4.85,5,319.37,15.99,81373,66.29,4.85,5,19.9785,0.5153,0.98,1,1
Mumbai,Mithi River Basin,267.19,51.04,98506,61.67,5.61,8,267.19,51.04,98506,61.67,5.61,8,5.2349,0.4389,0.98,1,1
Mumbai,Mithi River Basin,78.91,35.32,91358,93.02,2.07,9,78.91,35.32,91358,93.02,2.07,9,2.2342,0.7935,0.98,1,1
Mumbai,Mithi River Basin,109.17,16.33,61220,92.07,5.21,4,109.17,16.33,61220,92.07,5.21,4,6.6868,0.4785,0.98,1,1
Mumbai,Kurla West,179.47,16.71,39596,66.57,5.87,3,179.47,16.71,39596,66.57,5.87,3,10.7391,0.4131,0.98,1,1
Mumbai,Kurla West,405.06,25.98,42771,56.73,6.34,5,405.06,25.98,42771,56.73,6.34,5,15.5941,0.3658,0.98,1,1
Mumbai,Mithi River Basin,234.6,40.62,103344,76.0,5.17,9,234.6,40.62,103344,76.0,5.17,9,5.7752,0.4833,0.98,1,1
Mumbai,Mithi River Basin,78.13,56.75,80961,75.23,2.86,9,78.13,56.75,80961,75.23,2.86,9,1.3768,0.7142,0.98,1,1
Mumbai,Sion Lowlands,68.34,43.83,56653,53.22,4.03,8,68.34,43.83,56653,53.22,4.03,8,1.5594,0.5974,0.98,1,1
Mumbai,Kurla West,341.25,20.33,41725,56.57,6.5,8,341.25,20.33,41725,56.57,6.5,8,16.7865,0.35,0.98,1,1
Mumbai,Mithi River Basin,316.26,23.77,84052,90.23,4.02,8,316.26,23.77,84052,90.23,4.02,8,13.3059,0.5978,0.98,1,1
Mumbai,Kurla West,206.18,32.69,63709,85.43,2.41,6,206.18,32.69,63709,85.43,2.41,6,6.3065,0.7586,0.98,1,1
Mumbai,Sion Lowlands,340.73,29.86,53769,69.04,6.77,8,340.73,29.86,53769,69.04,6.77,8,11.4123,0.323,0.98,1,1
Mumbai,Mithi River Basin,234.14,28.5,99478,62.59,4.98,5,234.14,28.5,99478,62.59,4.98,5,8.2168,0.5025,0.98,1,1
Mumbai,Kurla West,63.29,18.76,62904,69.81,5.52,4,63.29,18.76,62904,69.81,5.52,4,3.3742,0.4475,0.98,1,1
Mumbai,Mithi River Basin,126.62,55.96,59020,50.11,6.84,8,126.62,55.96,59020,50.11,6.84,8,2.2629,0.3162,0.98,1,1
Mumbai,Sion Lowlands,380.77,63.1,46520,95.61,4.23,9,380.77,63.1,46520,95.61,4.23,9,6.0339,0.577,0.98,1,1
Mumbai,Sion Lowlands,260.48,58.65,96431,80.67,5.8,7,260.48,58.65,96431,80.67,5.8,7,4.4415,0.4205,0.98,1,1
Chennai,Velachery,447.71,52.33,47935,78.81,7.59,8,447.71,52.33,47935,78.81,7.59,8,8.555,0.2411,0.98,1,1
Chennai,Adyar Basin,287.05,65.77,64813,46.63,6.52,4,287.05,65.77,64813,46.63,6.52,4,4.3641,0.3479,0.98,1,1
Chennai,Adyar Basin,41.29,42.76,37850,85.59,2.7,8,41.29,42.76,37850,85.59,2.7,8,0.9657,0.7296,0.8477,1,1
Chennai,Tambaram Outfall,125.17,26.03,22983,64.26,4.72,8,125.17,26.03,22983,64.26,4.72,8,4.8091,0.5275,0.98,1,1
Chennai,Velachery,331.93,56.89,94859,52.81,2.63,3,331.93,56.89,94859,52.81,2.63,3,5.8344,0.7366,0.98,1,1
Chennai,Adyar Basin,25.19,63.74,47788,61.12,7.63,4,25.19,63.74,47788,61.12,7.63,4,0.3952,0.2371,0.3761,0,0
Chennai,Velachery,244.82,49.04,78606,61.91,3.0,8,244.82,49.04,78606,61.91,3.0,8,4.9924,0.6996,0.98,1,1
Chennai,T. Nagar Market,265.29,56.61,22050,65.7,4.13,3,265.29,56.61,22050,65.7,4.13,3,4.6859,0.5866,0.98,1,1
Chennai,Velachery,147.81,65.52,55400,46.02,4.65,5,147.81,65.52,55400,46.02,4.65,5,2.2561,0.5346,0.98,1,1
Chennai,Tambaram Outfall,473.12,59.9,65028,44.92,4.8,8,473.12,59.9,65028,44.92,4.8,8,7.8986,0.5203,0.98,1,1
Chennai,Velachery,488.82,57.17,82211,52.74,7.69,8,488.82,57.17,82211,52.74,7.69,8,8.5506,0.2315,0.98,1,1
Chennai,Adyar Basin,306.11,45.63,60042,49.71,3.71,2,306.11,45.63,60042,49.71,3.71,2,6.7078,0.6287,0.98,1,1
Chennai,T. Nagar Market,438.33,66.39,38297,68.88,3.93,4,438.33,66.39,38297,68.88,3.93,4,6.6026,0.6069,0.98,1,1
Chennai,Adyar Basin,250.28,69.82,44578,84.87,3.73,6,250.28,69.82,44578,84.87,3.73,6,3.5848,0.6266,0.98,1,1
Chennai,Adyar Basin,427.0,42.87,43874,55.01,5.12,4,427.0,42.87,43874,55.01,5.12,4,9.96,0.4878,0.98,1,1
Chennai,Velachery,423.2,21.77,66542,76.04,5.53,4,423.2,21.77,66542,76.04,5.53,4,19.4386,0.447,0.98,1,1
Chennai,Adyar Basin,139.42,56.17,61873,44.46,3.71,6,139.42,56.17,61873,44.46,3.71,6,2.4821,0.6289,0.98,1,1
Chennai,Tambaram Outfall,51.47,62.56,29516,66.43,5.76,3,51.47,62.56,29516,66.43,5.76,3,0.8227,0.4242,0.6839,1,1
Chennai,Tambaram Outfall,285.99,33.35,27314,87.75,3.85,4,285.99,33.35,27314,87.75,3.85,4,8.5749,0.6151,0.98,1,1
Chennai,T. Nagar Market,91.83,36.7,71756,78.36,6.24,8,91.83,36.7,71756,78.36,6.24,8,2.5022,0.3759,0.98,1,1
Chennai,Velachery,436.94,63.59,69138,88.35,2.53,4,436.94,63.59,69138,88.35,2.53,4,6.8709,0.7472,0.98,1,1
Chennai,Velachery,371.14,28.04,38787,70.59,6.66,5,371.14,28.04,38787,70.59,6.66,5,13.237,0.3339,0.98,1,1
Chennai,Velachery,70.49,38.83,57311,69.7,6.79,7,70.49,38.83,57311,69.7,6.79,7,1.8151,0.3211,0.98,1,1
Chennai,T. Nagar Market,379.53,47.06,62207,86.21,4.66,8,379.53,47.06,62207,86.21,4.66,8,8.0643,0.5343,0.98,1,1
Chennai,Adyar Basin,468.76,28.32,83888,72.02,4.4,3,468.76,28.32,83888,72.02,4.4,3,16.5528,0.5598,0.98,1,1
Chennai,Tambaram Outfall,36.91,63.58,57567,77.18,4.95,4,36.91,63.58,57567,77.18,4.95,4,0.5806,0.5047,0.5806,1,1
Chennai,T. Nagar Market,46.43,61.08,51598,66.88,6.74,3,46.43,61.08,51598,66.88,6.74,3,0.7603,0.3263,0.5597,1,1
Chennai,T. Nagar Market,228.59,33.68,34288,45.62,7.2,8,228.59,33.68,34288,45.62,7.2,8,6.7868,0.2802,0.98,1,1
Chennai,Tambaram Outfall,417.33,58.64,72307,76.0,4.0,2,417.33,58.64,72307,76.0,4.0,2,7.1168,0.5997,0.98,1,1
Chennai,Adyar Basin,87.36,41.62,73268,90.02,7.22,5,87.36,41.62,73268,90.02,7.22,5,2.0991,0.2785,0.98,1,1
Chennai,T. Nagar Market,164.43,36.04,39982,81.02,3.6,2,164.43,36.04,39982,81.02,3.6,2,4.5627,0.6398,0.98,1,1
Chennai,Velachery,357.45,48.14,43019,66.03,7.83,7,357.45,48.14,43019,66.03,7.83,7,7.4256,0.2175,0.98,1,1
Chennai,Adyar Basin,379.53,51.31,58827,41.79,7.56,4,379.53,51.31,58827,41.79,7.56,4,7.3967,0.2435,0.98,1,1
Chennai,Tambaram Outfall,396.54,44.08,31536,73.4,3.86,2,396.54,44.08,31536,73.4,3.86,2,8.9967,0.6139,0.98,1,1
Chennai,T. Nagar Market,327.08,36.3,74615,63.83,7.91,2,327.08,36.3,74615,63.83,7.91,2,9.0113,0.2086,0.98,1,1
Chennai,Tambaram Outfall,237.54,54.02,49009,66.4,5.8,4,237.54,54.02,49009,66.4,5.8,4,4.3971,0.42,0.98,1,1
Chennai,Adyar Basin,449.85,56.21,89298,45.77,3.83,2,449.85,56.21,89298,45.77,3.83,2,8.0023,0.6169,0.98,1,1
Chennai,Adyar Basin,83.26,44.94,68787,59.03,6.77,3,83.26,44.94,68787,59.03,6.77,3,1.8524,0.3233,0.98,1,1
Chennai,Velachery,437.73,24.13,76985,61.83,3.23,8,437.73,24.13,76985,61.83,3.23,8,18.1441,0.677,0.98,1,1
Chennai,Adyar Basin,345.25,60.03,88577,42.27,6.19,4,345.25,60.03,88577,42.27,6.19,4,5.7514,0.3813,0.98,1,1
Chennai,T. Nagar Market,274.28,55.45,46289,74.39,6.81,8,274.28,55.45,46289,74.39,6.81,8,4.9462,0.3191,0.98,1,1
